pdb_id,chain,curvature_mean,twist_mean,twist_hand_mean,pitch_mean,pitch_hand_mean,tmscore_mean,yaw_mean,curvature_std,twist_std,twist_hand_std,pitch_std,pitch_hand_std,tmscore_std,yaw_std,classification
3TSR,H,0.656,0.099,0.467,0.071,-0.2,0.558,0.073,0.708,0.088,0.884,0.081,0.98,0.083,0.119,3.2.1.1
4AIF,A,0.656,0.763,1,0.243,-1,0.564,0.249,0.055,0.046,0,0.125,0,0.004,0.081,3.3
6VNW,D,0.656,0.525,0.143,0.766,0.714,0.444,0.895,0.796,0.85,0.99,0.42,0.7,0.13,1.023,
1OT8,A,0.657,0.308,-1,0.113,0.2,0.718,0.157,0.406,0.229,0,0.075,0.98,0.132,0.058,3.3.1.1
3LWW,C,0.657,0.281,0.286,0.185,-0.143,0.562,0.33,0.412,0.18,0.958,0.195,0.99,0.113,0.495,3.3.3.1
3OGL,J,0.657,0.545,0.684,0.153,0.368,0.384,0.502,0.324,0.866,0.729,0.197,0.93,0.125,0.583,3.2
5G05,J,0.657,0.741,0.846,0.328,0.077,0.659,0.372,0.137,0.728,0.533,0.213,0.997,0.18,0.267,3.3
2IAE,D,0.658,0.131,0.538,0.03,0.077,0.642,0.09,0.654,0.122,0.843,0.019,0.997,0.09,0.088,3.3.2.2
3P87,C,0.658,2.821,0.333,0.034,-0.333,0.621,2.948,0.403,0.052,0.943,0.03,0.943,0.069,0.12,5.3.2
5L59,A,0.658,1.394,-1,0.515,0.2,0.489,1.268,0.077,0.589,0,0.308,0.98,0.225,1.002,4.4
5V5O,C,0.658,0.976,1,0.178,-0.5,0.735,0.266,0.466,0.606,0,0.138,0.866,0.105,0.199,3.3.3.1
6PQQ,D,0.658,0.777,-0.25,0.538,0.25,0.486,0.863,0.576,0.72,0.968,0.374,0.968,0.162,0.726,3.3.1.1
6S1O,E,0.658,2.824,0.333,0.048,0.333,0.565,2.903,0.401,0.009,0.943,0.029,0.943,0.045,0.097,5.3.2
1KMO,A,0.659,0.418,-0.091,0.354,-0.636,0.421,0.478,0.65,0.314,0.996,0.459,0.771,0.134,0.483,4.2
4JA7,A,0.659,0.532,1,0.196,0,0.85,0.037,0.009,0.006,0,0.059,1,0.078,0.02,3.3
3KJ4,A,0.66,0.478,0.8,0.207,0,0.486,0.359,0.423,0.827,0.6,0.216,1,0.192,0.868,3.2.1.1
5H2X,A,0.66,0.953,1,0.269,0,0.758,0.159,0.232,0.355,0,0.209,1,0.089,0.117,3.3.3.1
1S64,G,0.661,0.33,-0.333,0.1,-0.667,0.639,0.354,0.316,0.15,0.943,0.07,0.745,0.173,0.19,3.3.2.1
1SQ0,B,0.661,0.348,-0.333,0.262,0.333,0.4,0.443,0.455,0.653,0.943,0.345,0.943,0.162,0.4,3.2.1.1
3UP8,B,0.661,1.257,-0.25,0.614,-0.25,0.43,0.768,0.318,1.019,0.968,0.388,0.968,0.068,0.219,
4U58,A,0.661,0.77,1,0.268,-0.25,0.68,0.197,0.343,0.398,0,0.17,0.968,0.112,0.137,3.3.3.1
6FBY,C,0.661,0.331,1,0.401,-0.333,0.468,0.302,0.027,0.211,0,0.105,0.943,0.057,0.19,3.3
6FCN,A,0.661,2.64,0.333,0.064,0.333,0.605,2.917,0.406,0.064,0.943,0.04,0.943,0.058,0.124,5.3.2
6V78,C,0.661,0.215,0.143,0.283,0.143,0.451,0.196,0.277,0.172,0.99,0.27,0.99,0.088,0.211,4.2.1.1
3OGK,H,0.662,0.47,-0.053,0.23,-0.053,0.369,0.493,0.443,0.74,0.999,0.272,0.999,0.119,0.576,3.2
4R07,D,0.662,0.215,0.154,0.111,-0.231,0.383,0.185,0.544,0.533,0.988,0.174,0.973,0.097,0.335,3.2.1.1
1Z2F,A,0.663,0.22,-0.333,0.149,0,0.351,0.441,0.413,0.426,0.943,0.252,1,0.098,0.224,3.1
3RZY,A,0.663,1.106,0,0.273,0,0.513,0.234,0.242,0.693,1,0.067,1,0.047,0.144,4.2.1.2
4GU3,A,0.663,1.486,-1,0.278,0,0.24,0.203,0.023,0.273,0,0.122,1,0.024,0.15,3.4.1.1
4GZ3,A,0.663,0.435,1,0.239,-0.333,0.876,0.048,0.02,0.024,0,0.143,0.943,0.047,0.024,3.3
4OSM,A,0.663,0.202,1,0.173,0,0.847,0.037,0.224,0.087,0,0.121,1,0.084,0.024,3.3.3.2
6GKF,G,0.663,0.28,1,0.196,-0.333,0.48,0.412,0.019,0.119,0,0.032,0.943,0.051,0.458,3.3
6TM5,J,0.663,0.687,0.846,0.325,0.077,0.637,0.378,0.137,0.725,0.533,0.209,0.997,0.156,0.231,3.3
1GX9,A,0.664,0.593,0,0.599,1,0.262,1.711,0.209,0.49,1,0.218,0,0.09,0.544,4.2.1.2
3SY9,A,0.664,0.286,0,0.126,-0.25,0.483,0.279,0.144,0.209,1,0.108,0.968,0.092,0.135,4.2.1.1
4H7X,A,0.664,0.274,1,0.51,1,0.488,0.148,0.013,0.082,0,0.164,0,0.019,0.027,3.3
5WCE,B,0.664,2.585,-0.2,0.071,-0.2,0.563,2.982,0.409,0.041,0.98,0.075,0.98,0.087,0.106,5.3.2
6PQP,B,0.664,0.513,-0.143,0.345,-1,0.517,0.398,0.587,0.504,0.99,0.241,0,0.229,0.36,3.3.1.1
1M8W,A,0.665,0.127,-0.25,0.082,0,0.703,0.03,0.3,0.061,0.968,0.048,1,0.094,0.019,3.3.2.5
2XTW,C,0.665,1.228,-0.429,0.51,0.429,0.389,0.7,0.501,1.11,0.904,0.512,0.904,0.1,0.687,3.1.1.1
6CBI,A,0.665,2.747,0.333,0.059,0.333,0.609,2.942,0.409,0.052,0.943,0.024,0.943,0.079,0.11,5.3.2
1N4P,A,0.666,0.839,-0.667,0.322,-0.667,0.602,0.681,0.399,0.951,0.745,0.417,0.745,0.162,0.902,3.3.2.1
3EBB,D,0.666,0.482,0.6,0.242,-0.2,0.488,1.17,0.372,0.312,0.8,0.172,0.98,0.083,1.198,3.3
3T2W,A,0.666,0.661,-1,0.219,1,0.322,0.447,0.181,0.304,0,0.172,0,0.077,0.137,4.2
3TWV,D,0.666,0.242,-1,0.136,0,0.656,0.135,0.318,0.085,0,0.094,1,0.243,0.074,3.3.1.1
4GYW,A,0.666,0.426,1,0.243,-0.333,0.864,0.051,0.02,0.022,0,0.15,0.943,0.056,0.027,3.3
1TNO,A,0.667,0.704,-0.667,0.156,-0.333,0.642,0.446,0.448,0.845,0.745,0.138,0.943,0.109,0.583,3.3.2.1
2DZO,C,0.667,0.253,-1,0.188,0.333,0.575,0.153,0.318,0.149,0,0.191,0.943,0.163,0.141,3.3.1.1
3FDC,B,0.667,1.208,-0.333,0.539,-1,0.398,1.638,0.199,0.715,0.943,0.302,0,0.068,0.521,4.2
3R8R,I,0.667,0.58,-0.714,0.385,0.143,0.461,0.496,0.473,0.339,0.7,0.47,0.99,0.022,0.422,4.1.1.2
3VQ1,B,0.667,0.138,0.545,0.111,0,0.402,0.137,0.702,0.188,0.838,0.144,1,0.125,0.142,3.2.1.1
6IWA,C,0.667,1.025,1,0.293,0.25,0.668,0.098,0.393,0.603,0,0.088,0.968,0.085,0.063,3.3.3.1
8DQX,G,0.667,1.981,0.333,0.313,-0.333,0.604,2.85,0.408,0.094,0.943,0.281,0.943,0.03,0.205,5.3.2
1L3W,A,0.668,1.608,0,0.184,0,0.676,0.209,0.309,0.917,1,0.114,1,0.037,0.111,5.5
2OZT,A,0.668,0.351,0.333,0.217,-0.333,0.39,0.297,0.091,0.21,0.943,0.126,0.943,0.061,0.123,4.1
3KAE,A,0.668,0.486,0.2,0.291,0.2,0.596,0.807,0.032,0.138,0.98,0.159,0.98,0.151,0.911,3.3
3QGC,A,0.668,0.422,0.556,0.14,0.111,0.561,0.395,0.561,0.885,0.831,0.251,0.994,0.16,0.512,3.3.2.5
7AZF,A,0.668,2.706,-0.2,0.089,0.2,0.582,3.048,0.424,0.089,0.98,0.102,0.98,0.082,0.103,5.3.2
7CJ3,A,0.668,0.419,-1,0.079,-1,0.567,1.291,0.2,0.232,0,0.02,0,0.085,0.794,3.3
1JQL,A,0.669,2.77,-0.2,0.051,0.2,0.587,3.046,0.424,0.098,0.98,0.028,0.98,0.059,0.042,5.3.2
2ZVW,D,0.669,2.72,0.333,0.089,0.333,0.592,2.891,0.41,0.054,0.943,0.081,0.943,0.055,0.11,5.3.2
3W3L,B,0.669,0.143,-0.077,0.079,0.154,0.383,0.153,0.469,0.15,0.997,0.067,0.988,0.107,0.276,3.2.1.1
6EFK,A,0.669,0.469,1,0.198,0,0.884,0.179,0.005,0.075,0,0.175,1,0.007,0.025,3.3
6JNF,A,0.669,0.31,-0.5,0.109,-0.25,0.416,0.43,0.204,0.209,0.866,0.078,0.968,0.04,0.175,4.2
6WW7,B,0.669,0.509,1,0.128,0,0.659,0.527,0.169,0.359,0,0.155,1,0.063,0.138,3.3
7NV1,B,0.669,2.789,0.333,0.033,0.333,0.605,2.919,0.41,0.038,0.943,0.02,0.943,0.078,0.098,5.3.2
2X8P,A,0.67,2.11,0.231,0.587,0.231,0.438,1.285,0.439,0.337,0.973,0.355,0.973,0.188,0.75,3.4.2.5
4QC0,B,0.67,0.185,0.462,0.106,0.308,0.403,0.298,0.584,0.447,0.887,0.186,0.951,0.111,0.579,3.2.1.1
4TR6,B,0.67,2.822,-0.2,0.081,0.2,0.556,3.01,0.421,0.069,0.98,0.085,0.98,0.069,0.091,5.3.2
5LFM,C,0.67,0.674,1,0.384,-0.5,0.78,0.154,0.216,0.196,0,0.17,0.866,0.072,0.127,3.3.2.1
6BEA,A,0.67,0.152,-0.667,0.098,-0.333,0.491,0.677,0.697,0.378,0.745,0.125,0.943,0.141,0.71,3.1
2V7D,A,0.671,0.359,1,0.375,-0.333,0.493,0.438,0.03,0.252,0,0.089,0.943,0.042,0.456,3.3
3J0A,B,0.671,0.401,-0.167,0.201,-0.25,0.338,0.47,0.478,0.618,0.986,0.228,0.968,0.077,0.628,3.2.1.1
4MNG,F,0.671,2.87,0,0.224,0,0.436,1.467,0.014,0.259,1,0.132,1,0.048,0.681,
6CC7,A,0.671,0.738,0.5,0.423,1,0.536,0.841,0.249,0.762,0.866,0.114,0,0.102,0.356,4.4.3
6GWS,C,0.671,2.527,0.333,0.098,-0.333,0.602,2.887,0.412,0.052,0.943,0.069,0.943,0.062,0.102,5.3.2
6P6E,A,0.671,1.023,1,0.283,-0.25,0.689,0.223,0.533,0.783,0,0.173,0.968,0.08,0.155,3.3.3.1
6QH1,C,0.671,2.896,0.333,0.029,0.333,0.603,2.945,0.422,0.026,0.943,0.027,0.943,0.05,0.114,5.3.2
2Z0L,C,0.672,2.51,-0.333,0.094,-0.333,0.435,2.951,0.473,0.168,0.943,0.042,0.943,0.055,0.081,5.3.2
4JLQ,A,0.672,0.622,0.625,0.266,-0.125,0.624,0.468,0.639,0.65,0.781,0.158,0.992,0.087,0.654,3.3.2.2
6DEH,A,0.672,0.486,1,0.358,-0.143,0.765,0.271,0.054,0.055,0,0.179,0.99,0.109,0.136,3.3
6JKU,C,0.672,0.439,-0.143,0.368,-0.429,0.393,0.946,0.145,0.566,0.99,0.283,0.904,0.065,0.732,
1VYO,A,0.673,1.199,-0.333,0.43,-0.333,0.397,0.812,0.261,0.49,0.943,0.134,0.943,0.05,0.128,4.2
2ZVW,H,0.673,2.711,0.333,0.076,0.333,0.588,2.907,0.414,0.044,0.943,0.076,0.943,0.052,0.094,5.3.2
3TWR,A,0.673,0.155,-1,0.239,0,0.621,0.169,0.25,0.134,0,0.101,1,0.195,0.083,3.3.1.1
3W3X,A,0.673,0.551,0.364,0.274,0.091,0.541,0.512,0.562,0.741,0.932,0.334,0.996,0.127,0.788,3.3.3.3
4B7O,A,0.673,0.222,0,0.084,0.4,0.537,0.42,0.559,0.186,1,0.058,0.917,0.098,0.534,4.2
1N4S,A,0.674,0.233,-0.667,0.161,-0.667,0.603,0.26,0.314,0.153,0.745,0.106,0.745,0.165,0.142,3.3.2.1
2DBA,A,0.674,0.605,1,0.269,1,0.75,0.09,0.021,0.102,0,0.148,0,0.022,0.026,3.3
3MY9,A,0.674,0.367,0.143,0.214,0.143,0.411,0.612,0.136,0.209,0.99,0.18,0.99,0.081,0.851,4.1
5MUA,B,0.674,2.542,-1,0.604,0.333,0.519,1.997,0.461,0.516,0,0.482,0.943,0.17,0.092,4.3.2.1
3EWB,X,0.675,0.669,-0.5,0.37,-0.5,0.45,0.713,0.298,0.612,0.866,0.23,0.866,0.043,0.752,4.1
3UKX,B,0.675,1.07,1,0.255,0,0.662,0.185,0.406,0.597,0,0.191,1,0.102,0.097,3.3.3.1
4C0O,A,0.675,0.714,0.222,0.312,0.222,0.513,0.46,0.629,0.727,0.975,0.36,0.975,0.098,0.465,3.3
6N89,A,0.675,1.286,-0.053,0.476,0.053,0.42,0.775,0.663,1.093,0.999,0.341,0.999,0.084,0.749,3.3.3.1
8DR4,G,0.675,1.968,0.333,0.321,-0.333,0.6,2.853,0.412,0.085,0.943,0.284,0.943,0.031,0.184,5.3.2
4A0C,B,0.676,0.357,0.308,0.142,0,0.607,0.205,0.36,0.265,0.951,0.099,1,0.094,0.168,3.3
4QQ0,A,0.676,2.291,1,0.231,0,0.7,0.517,0.001,0.121,0,0.022,1,0.024,0.038,5.3
4YO5,L,0.676,0.504,0,0.729,1,0.514,0.427,0.02,0.19,1,0.353,0,0.037,0.212,3.3
5NUQ,A,0.676,0.391,-0.333,0.234,0.667,0.414,0.865,0.395,0.208,0.943,0.23,0.745,0.061,0.969,4.2.1.1
1O6T,A,0.677,0.242,1,0.064,-0.143,0.676,0.034,0.549,0.198,0,0.044,0.99,0.117,0.032,3.2.1.1
1XR2,A,0.677,0.34,-0.6,0.179,-0.2,0.368,0.159,0.054,0.243,0.8,0.171,0.98,0.091,0.155,4.1
2JLB,A,0.677,0.404,1,0.322,-0.5,0.686,0.212,0.062,0.194,0,0.195,0.866,0.157,0.116,3.3
2NPP,D,0.677,0.19,0.077,0.043,-0.538,0.651,0.152,0.483,0.163,0.997,0.025,0.843,0.117,0.146,3.3.2.2
2ZIR,A,0.677,0.74,-0.667,0.295,-0.333,0.611,0.591,0.468,0.996,0.745,0.289,0.943,0.172,0.713,3.3.2.1
3J5Q,B,0.677,1.11,-0.455,0.376,-0.455,0.496,1.046,0.561,1.052,0.891,0.267,0.891,0.147,1.083,3.3.1.1
3OGK,B,0.677,0.365,0.2,0.228,-0.1,0.397,0.449,0.389,0.685,0.98,0.267,0.995,0.114,0.547,3.2
3WQH,B,0.677,0.051,0,0.535,-1,0.51,0.078,0.21,0.01,1,0.394,0,0.007,0.04,4.4.5.1
5FQ6,B,0.677,0.207,-0.4,0.079,0.4,0.532,0.409,0.477,0.155,0.917,0.043,0.917,0.124,0.474,4.2
6D84,B,0.677,1.135,0.538,0.496,-0.231,0.55,0.505,0.437,1.196,0.843,0.412,0.973,0.135,0.562,3.3.2.2
6IW8,C,0.677,0.869,1,0.17,0,0.689,0.178,0.29,0.319,0,0.103,1,0.086,0.076,3.3.3.1
7AZF,B,0.677,2.703,-0.2,0.079,0.6,0.583,3.072,0.431,0.078,0.98,0.084,0.8,0.08,0.068,5.3.2
7TIB,G,0.677,1.793,0.333,0.394,-0.333,0.594,2.804,0.413,0.132,0.943,0.262,0.943,0.03,0.237,5.3.2
8DQZ,F,0.677,1.907,0.333,0.342,-0.333,0.604,2.831,0.413,0.084,0.943,0.275,0.943,0.027,0.207,5.3.2
1TNO,G,0.678,1.571,-0.333,0.306,-0.667,0.603,0.671,0.599,1.335,0.943,0.27,0.745,0.145,0.609,3.3.2.1
1TNU,A,0.678,1.015,-0.667,0.147,0,0.575,0.714,0.361,1.048,0.745,0.061,1,0.134,0.842,3.3.2.1
2IAE,A,0.678,0.14,0.538,0.054,-0.231,0.661,0.213,0.583,0.109,0.843,0.054,0.973,0.097,0.34,3.3.2.2
3L5H,A,0.678,2.595,-0.6,0.367,-0.2,0.65,0.416,0.179,0.275,0.8,0.308,0.98,0.086,0.198,5.5
3SZH,A,0.678,0.826,-1,0.444,1,0.324,0.559,0.217,0.457,0,0.379,0,0.053,0.193,4.2
4NC1,B,0.678,1.561,0.091,0.497,0.273,0.374,0.984,0.539,0.817,0.996,0.42,0.962,0.112,0.649,3.4.2.5
5HGV,A,0.678,0.432,1,0.244,-0.333,0.867,0.062,0.023,0.02,0,0.154,0.943,0.055,0.024,3.3
5T9D,A,0.678,1.977,0.333,0.306,0.333,0.602,2.786,0.41,0.084,0.943,0.205,0.943,0.022,0.054,5.3.2
6BY9,A,0.678,0.336,-1,0.116,0.714,0.774,0.138,0.594,0.262,0,0.067,0.7,0.144,0.124,3.3.1.1
6EA3,B,0.678,1.107,0,0.657,-1,0.28,1.776,0.209,0.967,1,0.161,0,0.046,0.76,
6FCM,A,0.678,2.662,0.333,0.055,0.333,0.607,2.935,0.416,0.08,0.943,0.038,0.943,0.065,0.126,5.3.2
1XR2,B,0.679,0.55,0.143,0.251,-0.714,0.371,0.952,0.189,0.498,0.99,0.244,0.7,0.098,0.806,4.1
6IQS,A,0.679,0.521,0.6,0.508,-0.6,0.615,0.281,0.082,0.183,0.8,0.314,0.8,0.156,0.384,3.3
1TNY,C,0.68,1.565,-0.333,0.305,-0.667,0.603,0.667,0.598,1.329,0.943,0.272,0.745,0.144,0.601,3.3.2.1
2HR7,A,0.68,2.508,0.333,0.742,0.333,0.388,0.841,0.328,0.213,0.943,0.198,0.943,0.065,0.233,3.2
2ZVW,E,0.68,2.716,0.333,0.083,0.333,0.583,2.909,0.417,0.052,0.943,0.069,0.943,0.049,0.093,5.3.2
4BWR,A,0.68,0.834,0.333,0.57,0.167,0.67,0.69,0.582,0.597,0.943,0.335,0.986,0.131,0.836,3.3.2.3
4QZV,C,0.68,0.102,1,0.568,-1,0.53,0.12,0.21,0.067,0,0.416,0,0.019,0.016,4.4.5.1
5WI0,B,0.68,0.298,-0.333,0.238,1,0.419,0.075,0.085,0.122,0.943,0.142,0,0.113,0.03,4.1
6C9M,C,0.68,0.793,0.158,0.31,-0.474,0.572,0.817,0.495,0.773,0.987,0.266,0.881,0.116,0.676,3.3
6CX4,A,0.68,2.034,0.333,0.327,0.333,0.606,2.796,0.41,0.109,0.943,0.233,0.943,0.044,0.102,5.3.2
1DZK,B,0.681,0.591,-0.333,0.46,-1,0.315,1.619,0.259,0.232,0.943,0.337,0,0.05,0.792,4.2.1.2
1KOO,A,0.681,0.2,-0.333,0.546,-0.333,0.384,0.134,0.322,0.142,0.943,0.381,0.943,0.035,0.127,3.2
1LDO,A,0.681,1.18,-0.333,0.449,-0.333,0.407,0.801,0.264,0.438,0.943,0.135,0.943,0.048,0.14,4.2
1S64,A,0.681,0.314,-0.667,0.115,-0.333,0.617,0.253,0.33,0.129,0.745,0.086,0.943,0.163,0.178,3.3.2.1
2NTI,I,0.681,2.844,0.333,0.055,-0.333,0.6,2.942,0.422,0.078,0.943,0.037,0.943,0.077,0.114,5.3.2
2ZU6,B,0.681,0.696,-0.667,0.396,0.333,0.542,0.954,0.607,0.506,0.745,0.191,0.943,0.087,0.862,3.3
3MM0,A,0.681,0.844,-0.333,0.11,0.333,0.363,0.698,0.054,0.125,0.943,0.074,0.943,0.069,0.551,4.2
4TZ5,B,0.681,0.146,-0.714,0.062,-0.143,0.413,0.699,0.579,0.177,0.7,0.036,0.99,0.067,0.556,3.1
4ZB1,B,0.681,0.992,0.333,0.151,-0.333,0.398,1.345,0.1,0.673,0.943,0.066,0.943,0.018,1.115,
7RPO,C,0.681,2.99,0.333,0.037,-0.333,0.607,2.905,0.424,0.054,0.943,0.03,0.943,0.08,0.122,5.3.2
3ZIR,A,0.682,0.844,1,0.212,0.25,0.684,0.194,0.343,0.419,0,0.094,0.968,0.1,0.15,3.3.3.1
4FP9,H,0.682,1.092,0.333,0.403,0.667,0.476,0.835,0.348,1.012,0.943,0.282,0.745,0.031,1.016,3.3
4TR6,A,0.682,2.801,-0.2,0.039,0.2,0.592,3.007,0.428,0.081,0.98,0.033,0.98,0.077,0.115,5.3.2
4YKO,A,0.682,0.45,1,0.302,1,0.243,0.902,0.167,0.359,0,0.252,0,0.01,0.327,4.2.1.2
5Z8H,A,0.682,1.506,1,0.273,-0.333,0.591,0.33,0.37,0.87,0,0.191,0.943,0.133,0.241,3.3.3.1
1HU3,A,0.683,0.632,0,0.274,-0.5,0.506,0.408,0.481,0.367,1,0.209,0.866,0.02,0.28,3.3
1IBR,B,0.683,0.372,-0.333,0.359,0.333,0.512,0.262,0.33,0.24,0.943,0.323,0.943,0.14,0.264,3.3.3.1
3MG5,D,0.683,0.663,-1,0.567,1,0.34,1.238,0.244,0.393,0,0.334,0,0.049,0.574,4.2
3PZ1,A,0.683,0.612,0.143,0.38,0.429,0.606,0.537,0.167,0.578,0.99,0.408,0.904,0.147,0.698,3.3.2.1
4LSX,A,0.683,3.04,-1,0.088,0,0.238,0.558,0.186,0.014,0,0.056,1,0.039,0.195,3.2.1.1
4OSK,B,0.683,0.227,1,0.178,0,0.905,0.041,0.267,0.076,0,0.111,1,0.066,0.033,3.3.3.2
4TUM,C,0.683,0.355,-1,0.386,-0.333,0.698,0.184,0.277,0.162,0,0.172,0.943,0.13,0.098,3.3.1.1
5NMR,A,0.683,0.422,0.111,0.179,0.333,0.573,0.42,0.088,0.673,0.994,0.175,0.943,0.091,0.959,4.4
1R9M,C,0.684,0.018,0,0.513,-1,0.525,0.072,0.217,0.009,1,0.354,0,0.012,0.049,4.4.5.1
3T0C,A,0.684,0.479,-0.429,0.258,0.143,0.382,0.635,0.199,0.299,0.904,0.219,0.99,0.102,0.885,4.1
7AZD,A,0.684,2.675,-0.2,0.067,0.2,0.587,3.026,0.435,0.063,0.98,0.085,0.98,0.079,0.064,5.3.2
7V1M,G,0.684,0.444,1,0.199,-0.333,0.724,0.107,0.04,0.194,0,0.134,0.943,0.027,0.051,3.3
4DSA,B,0.685,0.293,0,0.623,-1,0.47,0.139,0.044,0.112,1,0.105,0,0.094,0.041,4.4.5.1
2PKG,A,0.686,0.168,0.429,0.085,-0.143,0.658,0.147,0.448,0.167,0.904,0.076,0.99,0.119,0.11,3.3.2.2
3SZI,B,0.686,1.06,-0.333,0.513,-0.333,0.281,1.232,0.19,0.779,0.943,0.547,0.943,0.07,1.134,4.2
3W3L,A,0.686,0.132,0.462,0.072,0.538,0.381,0.317,0.637,0.27,0.887,0.145,0.843,0.083,0.668,3.2.1.1
4FSO,B,0.686,0.266,-0.5,0.114,-0.5,0.477,0.213,0.236,0.197,0.866,0.124,0.866,0.085,0.12,4.2.1.1
5T9D,B,0.686,1.89,0.333,0.303,0.333,0.587,2.767,0.418,0.103,0.943,0.217,0.943,0.026,0.115,5.3.2
2OND,A,0.687,0.205,0,0.177,0,0.584,0.09,0.307,0.159,1,0.138,1,0.073,0.088,3.3
2V7D,C,0.687,0.323,0.333,0.304,-0.333,0.497,0.307,0.024,0.23,0.943,0.052,0.943,0.027,0.28,3.3
3CIY,A,0.687,0.098,0.167,0.078,0.25,0.425,0.133,0.56,0.081,0.986,0.07,0.968,0.079,0.129,3.2.1.1
3JCK,F,0.687,1.726,0.333,0.324,-0.333,0.525,1.083,0.162,1.117,0.943,0.192,0.943,0.083,0.954,3.3
3R8R,D,0.687,0.563,-0.143,0.222,0.143,0.441,0.628,0.496,0.494,0.99,0.132,0.99,0.057,0.748,4.1.1.2
3SE6,A,0.687,0.265,-0.714,0.195,0.143,0.401,0.528,0.147,0.16,0.7,0.119,0.99,0.056,0.292,3.3
5DA7,A,0.687,2.931,-0.333,0.04,0.333,0.593,3.137,0.449,0.089,0.943,0.022,0.943,0.083,0.001,5.3.2
6DAN,A,0.687,0.594,-0.429,0.336,-0.429,0.389,0.483,0.152,0.557,0.904,0.406,0.904,0.069,0.67,4.1
6URA,D,0.687,0.936,-0.2,0.432,0.4,0.335,1.307,0.439,0.812,0.98,0.416,0.917,0.076,1.143,
1VPX,T,0.688,0.727,0.5,0.48,0,0.389,1.24,0.391,0.457,0.866,0.372,1,0.071,1.035,4.1.1.2
2X8X,X,0.688,0.806,1,0.097,-1,0.647,0.234,0.002,0.108,0,0.06,0,0.024,0.115,5.3
2Z4H,A,0.688,0.584,0,0.673,0,0.33,1.285,0.418,0.269,1,0.519,1,0.034,1.166,4.2
1JCS,A,0.689,0.743,-1,0.118,-0.333,0.657,0.336,0.299,0.843,0,0.092,0.943,0.164,0.194,3.3.2.1
2CML,C,0.689,2.102,0.5,0.404,-0.5,0.457,0.887,0.126,0.418,0.866,0.259,0.866,0.068,0.612,3.4
5AWC,B,0.689,0.108,0.28,0.079,0.04,0.424,0.102,0.583,0.065,0.96,0.092,0.999,0.09,0.117,3.2.1.1
5GAQ,E,0.689,2.072,-0.333,0.897,1,0.351,2.857,0.467,1.067,0.943,0.276,0,0.059,0.14,4.3.2
5GAQ,F,0.689,2.068,0.333,0.77,-0.333,0.367,2.699,0.467,0.932,0.943,0.42,0.943,0.034,0.31,4.3.2
6Q2O,E,0.689,1.798,-1,0.315,1,0.583,0.924,0.241,1.282,0,0.237,0,0.018,1.069,5.4
7USL,B,0.689,1.27,-1,0.274,-0.333,0.616,1.046,0.081,0.82,0,0.073,0.943,0.037,0.636,5.3
1B3U,B,0.69,0.338,-0.385,0.118,0.385,0.625,0.256,0.461,0.32,0.923,0.119,0.923,0.088,0.235,3.3.2.2
2D22,A,0.69,1.439,-0.333,0.685,0.333,0.612,1.074,0.404,0.846,0.943,0.473,0.943,0.292,0.536,4.3.2
4K3C,A,0.69,0.273,-0.429,0.062,-0.143,0.52,0.433,0.28,0.241,0.904,0.045,0.99,0.092,0.24,4.2
5XYR,A,0.69,1.933,-0.333,0.552,0.333,0.311,1.296,0.461,0.62,0.943,0.122,0.943,0.079,1.311,
5DBK,B,0.691,0.665,0.75,0.598,0.25,0.652,0.303,0.053,0.308,0.661,0.499,0.968,0.108,0.185,3.3
5I3I,C,0.691,0.454,-0.143,0.274,0.714,0.386,0.523,0.24,0.254,0.99,0.258,0.7,0.067,0.803,4.1.1.1
6FUZ,A,0.691,0.443,1,0.363,0,0.79,0.154,0.054,0.038,0,0.162,1,0.11,0.053,3.3.2.1
7AZF,D,0.691,2.711,-0.2,0.083,0.6,0.579,3.063,0.439,0.07,0.98,0.078,0.8,0.08,0.057,5.3.2
1H8G,A,0.692,2.025,-0.333,0.533,-0.333,0.366,1.244,0.067,0.585,0.943,0.489,0.943,0.095,0.43,3.4
1PLR,A,0.692,2.034,0.333,0.342,-0.333,0.598,2.856,0.421,0.077,0.943,0.261,0.943,0.042,0.182,5.3.2
2V7D,B,0.692,0.328,0.333,0.306,-0.333,0.495,0.297,0.025,0.237,0.943,0.055,0.943,0.03,0.27,3.3
4AC9,A,0.692,2.76,1,0.866,0,0.242,1.187,0.167,0.265,0,0.576,1,0.038,0.957,4.2
4RXG,G,0.692,0.449,0.333,0.299,-0.333,0.422,1.023,0.263,0.403,0.943,0.19,0.943,0.104,0.928,4.1.1.2
4S1F,N,0.692,0.711,-0.333,0.478,0,0.399,0.85,0.261,0.75,0.943,0.485,1,0.105,0.783,4.1.1.2
5HI9,A,0.692,0.132,-1,0.074,-0.333,0.49,0.868,0.14,0.08,0,0.068,0.943,0.021,0.126,3.3
5NUR,A,0.692,0.214,0,0.17,0,0.419,0.461,0.221,0.126,1,0.194,1,0.086,0.483,4.2.1.1
5Y3K,B,0.692,0.078,0,0.084,0,0.396,0.126,0.436,0.076,1,0.079,1,0.079,0.081,3.2.1.1
6AC3,B,0.692,1.016,-0.778,0.616,0.111,0.322,1.226,0.606,0.721,0.629,0.39,0.994,0.051,1.006,4.5
